kmers;-;-;1779738552.247219;1779738552.2457433
lcs;-;-;1779738552.7694113;1779738552.7677436
consistency;-;-;1779738556.375337;1779738556.3737466
quick;-;-;1779738552.4034774;1779738552.4017434
full;-;-;1779738552.7732751;1779738552.7717438
consistency;-;-;1779738556.375337;1779738556.3737466
align;kmers;nj;1779738552.7680202;1779738552.7667437
align;kmers;slmax;1779738552.7174032;1779738552.4837434
align;kmers;slmin;1779738552.7704291;1779738552.7687438
align;kmers;upgma;1779738552.7718716;1779738552.7707436
align;lcs;upgma;1779738553.2447379;1779738553.242744
align;lcs;nj;1779738553.2646682;1779738553.2627442
align;lcs;slmax;1779738553.3112879;1779738553.3087442
align;lcs;slmin;1779738553.1210413;1779738553.119744
align;full;nj;1779738553.1227515;1779738553.120744
align;full;slmin;1779738553.158862;1779738553.156744
align;full;slmax;1779738553.0811007;1779738553.0797439
align;full;upgma;1779738553.0796628;1779738553.077744
align;proba;nj;1779738559.9297943;1779738559.9277496
align;proba;slmax;1779738560.3513708;1779738560.34975
align;proba;slmin;1779738560.5045638;1779738560.5027502
align;proba;upgma;1779738560.8621001;1779738560.8597505
align;quick;nj;1779738553.0780995;1779738553.0767438
align;quick;slmax;1779738552.974335;1779738552.9727437
align;quick;slmin;1779738553.2587566;1779738553.2567441
align;quick;upgma;1779738553.206952;1779738553.205744
aligncons;full;nj;1779738566.3217893;1779738566.319755
aligncons;full;slmax;1779738566.2386904;1779738566.236755
aligncons;full;slmin;1779738560.7964966;1779738560.7947505
aligncons;full;upgma;1779738560.20763;1779738560.20575
aligncons;kmers;upgma;1779738562.8402803;1779738562.838752
aligncons;kmers;nj;1779738563.690028;1779738563.687753
aligncons;kmers;slmax;1779738559.4799995;1779738559.4777493
aligncons;kmers;slmin;1779738559.582454;1779738559.5807495
aligncons;lcs;nj;1779738563.87323;1779738563.870753
aligncons;lcs;slmin;1779738563.0374432;1779738563.0357523
aligncons;lcs;slmax;1779738563.7486196;1779738563.746753
aligncons;lcs;upgma;1779738559.7757068;1779738559.7737496
alignconsupgma;proba;upgma;1779738560.6758313;1779738560.6737504
aligncons;proba;nj;1779738565.9048479;1779738565.9027548
aligncons;proba;slmax;1779738563.0860329;1779738563.0847523
alignconsslmin;proba;slmin;1779738559.6671138;1779738559.6657495
aligncons;quick;upgma;1779738563.1470132;1779738563.1457524
aligncons;quick;nj;1779738565.9659882;1779738565.963755
aligncons;quick;slmax;1779738559.529;1779738559.5267494
aligncons;quick;slmin;1779738563.8838766;1779738563.881753
nj;kmers;-;1779738552.35717;1779738552.3557434
slmax;kmers;-;1779738552.3067;1779738552.3047433
slmin;kmers;-;1779738552.3551292;1779738552.3537433
upgma;kmers;-;1779738552.3530319;1779738552.3517432
upgma;lcs;-;1779738552.9728374;1779738552.970744
nj;lcs;-;1779738553.0321496;1779738553.0307438
slmax;lcs;-;1779738553.1688414;1779738553.166744
slmin;lcs;-;1779738552.8780854;1779738552.8767438
nj;full;-;1779738552.8823967;1779738552.8807437
slmin;full;-;1779738552.9282188;1779738552.9267437
slmax;full;-;1779738552.8810654;1779738552.8797438
upgma;full;-;1779738552.8796675;1779738552.8777437
nj;proba;-;1779738556.4527092;1779738556.4507468
slmax;proba;-;1779738559.984823;1779738559.9827497
slmin;proba;-;1779738556.4484644;1779738556.4467468
upgma;proba;-;1779738556.5003219;1779738556.4987469
nj;quick;-;1779738552.8837464;1779738552.8817437
slmax;quick;-;1779738552.453039;1779738552.4517434
slmin;quick;-;1779738552.8303342;1779738552.8287437
upgma;quick;-;1779738552.7664347;1779738552.7647436
